customer_id,total_bookings,cancelled_bookings,confirmed_bookings,total_booking_value,cancelled_value,cancellation_rate,frequent_canceller
CUST01020,3,3,0,6457.719999999999,6457.719999999999,100.0,True
CUST04690,5,4,1,16752.5,13049.7,80.0,True
CUST00096,4,3,1,10028.4,8689.7,75.0,True
CUST00595,4,3,1,2871.8500000000004,1948.3300000000002,75.0,True
CUST01181,4,3,1,7830.860000000001,6327.07,75.0,True
CUST02977,4,3,1,5917.21,5018.63,75.0,True
CUST03595,4,3,1,3524.25,2805.71,75.0,True
CUST03605,4,3,1,5951.68,3970.3,75.0,True
CUST03766,4,3,1,6549.83,4908.429999999999,75.0,True
CUST04668,4,3,1,8439.78,6800.610000000001,75.0,True
CUST04979,4,3,1,14337.66,10537.529999999999,75.0,True
CUST02003,6,4,2,18384.05,13898.75,66.66666666666666,True
CUST03159,6,4,2,12375.79,10473.29,66.66666666666666,True
CUST04592,6,4,1,19227.49,10123.66,66.66666666666666,True
CUST00080,3,2,1,9787.62,8038.18,66.66666666666666,True
CUST00250,3,2,1,7757.93,3392.96,66.66666666666666,True
CUST00486,3,2,1,4065.54,3634.4700000000003,66.66666666666666,True
CUST00963,3,2,1,3763.49,2503.59,66.66666666666666,True
CUST00980,3,2,1,5117.099999999999,1784.4,66.66666666666666,True
CUST00984,3,2,1,5483.33,3845.05,66.66666666666666,True
CUST01054,3,2,1,5366.42,1797.1000000000001,66.66666666666666,True
CUST01057,3,2,1,3434.85,1723.33,66.66666666666666,True
CUST01078,3,2,0,7639.5,6814.65,66.66666666666666,True
CUST01099,3,2,1,4417.39,1728.43,66.66666666666666,True
CUST01314,3,2,1,5553.8,4917.24,66.66666666666666,True
CUST01626,3,2,0,7961.8099999999995,6256.09,66.66666666666666,True
CUST01791,3,2,1,2227.67,963.24,66.66666666666666,True
CUST01880,3,2,1,5693.76,1865.1599999999999,66.66666666666666,True
CUST01889,3,2,0,5560.45,4686.37,66.66666666666666,True
CUST01917,3,2,1,5241.39,2946.9700000000003,66.66666666666666,True
CUST02072,3,2,1,6957.61,5047.09,66.66666666666666,True
CUST02149,3,2,0,3421.6299999999997,1751.27,66.66666666666666,True
CUST02236,3,2,1,4925.57,3605.06,66.66666666666666,True
CUST02653,3,2,1,5540.639999999999,5184.91,66.66666666666666,True
CUST02659,3,2,1,6618.05,3384.21,66.66666666666666,True
CUST02930,3,2,1,6662.82,2960.2,66.66666666666666,True
